movie,metascore,rating,runtime,genre1,release_date,release_year,rat_avg,rat_count,rat_poscount,rat_mixcount,rat_negcount,prodbudget,adbudget,franchise,source,domgross,intlgross,distributor
The Center of the World,44,Unrated,88,Drama,18apr2001,2001,,3,3,0,0,,,,Original Screenplay,1101344,359343,Artisan
The Charcoal People,46,,65,Documentary,20apr2001,2001,,1,1,0,0,,,,Original Screenplay,8742750,,Sony Pictures
Freddy Got Fingered,13,NC-17,87,Comedy,20apr2001,2001,6.4,139,92,4,43,15000000,,,Original Screenplay,14254993,78259,20th Century Fox
Driven,29,PG-13,116,Action,27apr2001,2001,5.9,22,12,0,10,72000000,,,Original Screenplay,32720065,22024673,Warner Bros.
The Golden Bowl,62,R,130,Drama,27apr2001,2001,5.3,9,4,2,3,,,,Based on Book/Short Story,3050532,2703146,Lionsgate
One Night at McCool's,46,R,93,Comedy,27apr2001,2001,,0,0,0,0,,,,Original Screenplay,6290673,7182697,USA Films
The Forsaken,35,R,90,Thriller,27apr2001,2001,4.7,10,4,0,6,5000000,,,Original Screenplay,7288451,1416400,Sony Pictures
Deuces Wild,16,R,96,Action,03may2001,2001,6.2,9,5,0,4,10000000,,,Original Screenplay,6080065,202381,MGM
A Knight's Tale,54,Unrated,132,Action,11may2001,2001,7.6,61,49,7,5,41000000,,,Original Screenplay,56569702,60917771,Sony Pictures
Fast Food Fast Women,36,R,95,Comedy,18may2001,2001,,0,0,0,0,,,,,17131,,Lot 47 Films
Angel Eyes,39,R,102,Drama,18may2001,2001,6.9,19,15,1,3,38000000,,,Original Screenplay,24174218,5541388,Warner Bros.
Our Song,77,R,95,Drama,23may2001,2001,,3,3,0,0,,,,,254199,,
Pearl Harbor,44,R,183,Action,25may2001,2001,6.2,126,75,13,38,151500000,45000000,,Based on Real Life Events,198542554,250678391,Walt Disney Pictures
The Road Home,71,G,89,Drama,25may2001,2001,8.4,21,17,2,2,,,,Based on Book/Short Story,1280490,5500000,Sony Pictures Classics
The Animal,43,Unrated,84,Comedy,01jun2001,2001,4.9,18,8,4,6,22000000,,,Original Screenplay,57743062,27029680,Sony Pictures
Big Eden,59,PG-13,118,Drama,01jun2001,2001,9.4,10,10,0,0,,,,Original Screenplay,512451,,Jour de Fete
Atlantis: The Lost Empire,52,TV-PG,95,Adventure,08jun2001,2001,8,65,53,8,4,90000000,,,Based on Book/Short Story,84056472,101997253,Walt Disney Pictures
Evolution,40,PG-13,101,Sci-Fi,08jun2001,2001,6.6,37,23,10,4,80000000,,,Original Screenplay,38345494,60030798,Dreamworks SKG
Dead or Alive,49,Unrated,105,Drama,08jun2001,2001,5.8,4,2,1,1,,,,,3783,,
The Anniversary Party,56,R,115,Drama,08jun2001,2001,6.2,10,8,0,2,,,,Original Screenplay,4047329,884559,Fine Line
Down from the Mountain,75,G,98,Documentary,15jun2001,2001,,2,2,0,0,,,,,301388,,
Auggie Rose,49,R,109,Drama,15jun2001,2001,,1,1,0,0,,,,Original Screenplay,31200,,Roxie Releasing
Life and Debt,67,,80,Documentary,16jun2001,2001,9.4,0,0,0,0,,,,,263107,,New Yorker
Baby Boy,55,R,130,Drama,27jun2001,2001,8.6,13,11,2,0,16000000,,,Original Screenplay,28734552,647097,Sony Pictures
Crazy/Beautiful,61,R,99,Drama,29jun2001,2001,9.4,57,54,3,0,13000000,,,Original Screenplay,16937988,3000000,Walt Disney Pictures
Kiss of the Spider Woman (re-release),80,R,120,Drama,29jun2001,2001,6.3,7,4,2,1,,,,Based on Book/Short Story,17005229,,Island/Alive
Pootie Tang,31,PG-13,81,Action,29jun2001,2001,8.4,62,52,3,7,3500000,,,Original Screenplay,3313583,,Paramount Pictures
Artificial Intelligence: AI,65,PG-13,146,Adventure,29jun2001,2001,5.9,239,141,27,71,90000000,,,Based on Book/Short Story,78616689,157309863,Warner Bros.
Final Fantasy: The Spirits Within,49,PG-13,106,Action,11jul2001,2001,6.5,90,65,6,19,137000000,30000000,,Based on Game,32131830,53000000,Sony Pictures
Bully,45,TV-MA,113,Drama,13jul2001,2001,7.4,37,29,2,6,2100000,,,Based on Book/Short Story,480811,500000,Lionsgate
The Score,71,R,124,Action,13jul2001,2001,7,34,26,5,3,68000000,,,Original Screenplay,71107711,42472207,Paramount Pictures
Made,62,TV-MA,95,Drama,13jul2001,2001,6.7,10,8,0,2,5000000,,,Original Screenplay,5313300,167353,Artisan
Ghost World,88,R,111,Drama,20jul2001,2001,8.4,113,98,0,15,5500000,,,Based on Comic/Graphic Novel,6217849,2546158,MGM
Brother,47,R,114,Drama,20jul2001,2001,7.6,7,6,1,0,12000000,,,Original Screenplay,450594,14800000,Sony Pictures Classics
America's Sweethearts,44,PG-13,102,Comedy,20jul2001,2001,5.4,32,19,2,11,46000000,,,Original Screenplay,93607673,44583755,Sony Pictures
Hedwig and the Angry Inch,85,R,95,Drama,20jul2001,2001,9.1,55,51,4,0,6000000,,,Based on Musical/Opera,3067312,576888,Fine Line
Jackpot,49,R,97,Drama,27jul2001,2001,,1,1,0,0,400000,,,,44452,,
Apocalypse Now,90,R,153,Action,03aug2001,2001,8.9,120,113,4,3,31500000,10000000,,Based on Book/Short Story,78784010,,United Artists
The Deep End,78,TV-MA,101,Drama,08aug2001,2001,6.7,28,20,4,4,3000000,,,Based on Book/Short Story,8823109,1208420,Fox Searchlight
All Over the Guy,46,R,95,Comedy,10aug2001,2001,8,7,6,0,1,,,,Original Screenplay,1022324,29624,Lionsgate
An American Rhapsody,51,TV-14,106,Drama,10aug2001,2001,8.800000000000001,8,7,0,1,,,,Original Screenplay,850255,,Paramount Vantage
Session 9,58,R,97,Mystery,10aug2001,2001,8.300000000000001,48,44,1,3,1500000,,,,378176,1241426,USA Films
Osmosis Jones,57,PG,95,Action,10aug2001,2001,6.7,18,13,2,3,70000000,,,Original Screenplay,13596911,429507,Warner Bros.
American Outlaws,25,PG-13,94,Action,17aug2001,2001,8,25,19,0,6,35000000,,,Original Screenplay,13342790,336123,Warner Bros.
Fighter,83,,91,Documentary,24aug2001,2001,,0,0,0,0,,,,,99938,,First Run Features
Ghosts of Mars,35,R,98,Action,24aug2001,2001,5,27,12,2,13,28000000,,,Original Screenplay,8709640,5301192,Screen Media Films
Happy Accidents,60,R,110,Sci-Fi,24aug2001,2001,8.699999999999999,14,14,0,0,,,,Original Screenplay,688523,42689,IFC Films
Jay and Silent Bob Strike Back,51,TV-MA,104,Adventure,24aug2001,2001,8.1,96,80,3,13,22000000,,,Spin-Off,30085147,3703014,Miramax/Dimension
Bubble Boy,41,PG-13,84,Adventure,24aug2001,2001,8.699999999999999,35,31,1,3,13000000,,,Original Screenplay,5007898,,Walt Disney Pictures
The Curse of the Jade Scorpion,52,PG-13,103,Mystery,24aug2001,2001,5.9,13,8,3,2,26000000,,,Original Screenplay,7517191,11397116,Dreamworks SKG
O,53,TV-MA,95,Drama,31aug2001,2001,7.9,11,10,0,1,,,,Based on Play,16025437,3185398,Lionsgate
Funny Girl (re-release),89,G,151,Biography,31aug2001,2001,7.7,12,10,0,2,,,,Remake,0,,Gold Circle Films
The American Astronaut,51,,91,Sci-Fi,05sep2001,2001,9.699999999999999,16,16,0,0,,,,Original Screenplay,33884,,Artistic License
Rock Star,54,R,105,Drama,07sep2001,2001,8.1,13,12,0,1,38000000,,,Original Screenplay,17008282,2325863,Warner Bros.
Bounce: Behind the Velvet Rope,36,,71,Documentary,07sep2001,2001,,0,0,0,0,,,,Based on Real Life Events,8779,,Artistic License
L.I.E.,73,Open,97,Drama,07sep2001,2001,6.9,33,22,3,8,700000,,,Original Screenplay,1138836,528356,Lot 47 Films
The Glass House,34,PG-13,106,Thriller,14sep2001,2001,7.2,5,4,0,1,22000000,,,Original Screenplay,18150259,5469350,Sony Pictures
China: The Panda Adventure,49,,48,Drama,14sep2001,2001,,2,1,0,1,,,,Based on Book/Short Story,3921642,2863343,IMAX Films
Kill Me Later,34,R,89,Drama,14sep2001,2001,8.800000000000001,20,18,1,1,,,,,5700,,
Haiku Tunnel,51,R,88,Comedy,14sep2001,2001,7.5,12,10,0,2,,,,,92723,,Sony Pictures Classics
Hard Ball,48,R,106,Drama,14sep2001,2001,9.6,52,51,0,1,21000000,,,Based on Book/Short Story,40222729,3879660,Paramount Pictures
Rocky Road,21,PG-13,90,Drama,21sep2001,2001,,0,0,0,0,,,,,991,,
Glitter,14,PG-13,104,Romance,21sep2001,2001,5.6,71,40,3,28,8500000,,,Original Screenplay,4274407,997259,20th Century Fox
Extreme Days,17,PG,93,Action,28sep2001,2001,9.4,157,150,1,6,,,,Original Screenplay,1047553,,Providence Entertainment
Don't Say a Word,38,R,113,Drama,28sep2001,2001,5.5,13,6,3,4,50000000,,,Based on Book/Short Story,55001642,45018450,20th Century Fox
Hearts in Atlantis,55,PG-13,101,Drama,28sep2001,2001,7,24,19,0,5,31000000,,,Based on Book/Short Story,24185781,6733634,Warner Bros.
Dinner Rush,79,R,99,Drama,28sep2001,2001,7.2,13,10,0,3,2000000,,,Original Screenplay,638227,437277,Access Motion Picture Group
Chop Suey,53,,98,Biography,05oct2001,2001,,0,0,0,0,,,,Based on Real Life Events,179914,,Zeitgeist
Max Keeble's Big Move,40,PG,86,Comedy,05oct2001,2001,8,30,24,0,6,12000000,,,Original Screenplay,17294293,1340361,Walt Disney Pictures
Joy Ride,75,R,97,Action,05oct2001,2001,8.6,51,45,4,2,23000000,,,Original Screenplay,21974919,14667919,20th Century Fox
Training Day,70,R,122,Drama,05oct2001,2001,8.1,76,65,5,6,45000000,,,Original Screenplay,76631907,28244326,Warner Bros.
Grateful Dawg,64,PG-13,81,Documentary,05oct2001,2001,,0,0,0,0,,,,,360251,,Sony / Columbia
The Debut,60,R,88,Drama,05oct2001,2001,8.699999999999999,27,23,3,1,,,,Original Screenplay,1745778,,Menemsha Entertainment
Serendipity,52,PG-13,90,Fantasy,05oct2001,2001,7.5,30,25,2,3,28000000,,,Original Screenplay,50294317,27221987,Miramax
The Learning Curve,16,R,113,Drama,05oct2001,2001,,0,0,0,0,,,,,0,,
"Jails, Hospitals & Hip-Hop",71,R,90,Drama,12oct2001,2001,,0,0,0,0,,200000,,,10791,,
Corky Romano,20,PG-13,86,Comedy,12oct2001,2001,6.4,45,29,2,14,11000000,,,Original Screenplay,23980304,1292448,Walt Disney Pictures
Bandits,60,PG-13,123,Drama,12oct2001,2001,7.3,23,19,2,2,75000000,,,Original Screenplay,41575141,26056762,MGM
Dancing at the Blue Iguana,41,TV-MA,123,Drama,19oct2001,2001,,3,3,0,0,,,,,67913,,Keystone
Focus,53,PG-13,106,Drama,19oct2001,2001,,0,0,0,0,,,,Based on Book/Short Story,645418,,Paramount Vantage
Riding in Cars with Boys,43,PG-13,132,Biography,19oct2001,2001,6.5,11,8,0,3,47000000,,,Based on Real Life Events,30165536,5577772,Sony Pictures
The Last Castle,43,R,131,Action,19oct2001,2001,7.9,25,22,0,3,60000000,,,Original Screenplay,18244060,9398647,Dreamworks SKG
From Hell,54,R,122,Mystery,19oct2001,2001,6.5,36,22,10,4,35000000,,,Based on Comic/Graphic Novel,31602566,42955549,20th Century Fox
Dog Run,31,,104,Drama,19oct2001,2001,,0,0,0,0,,,,,3732,,
One Week,55,R,97,Drama,19oct2001,2001,,0,0,0,0,,,,,190441,,Filmways
Bones,42,R,96,Horror,24oct2001,2001,9,4,4,0,0,10000000,,,Original Screenplay,7316658,1062195,New Line
K-PAX,49,PG-13,120,Sci-Fi,26oct2001,2001,7.9,50,43,5,2,48000000,,,Based on Book/Short Story,50338485,14663000,Universal
On the Line,34,PG,85,Comedy,26oct2001,2001,8.199999999999999,5,4,1,0,10000000,,,Original Screenplay,4365455,37564,Miramax
Life as a House,45,R,125,Drama,26oct2001,2001,7.9,24,18,4,2,18000000,,,Original Screenplay,15667270,8236521,New Line
Kill by Inches,32,Unrated,80,Thriller,26oct2001,2001,8.5,6,5,0,1,,,,,1027,,
Ouch,38,,103,Comedy,26oct2001,2001,,0,0,0,0,,,,,228,,
History Lessons,41,,65,Documentary,26oct2001,2001,,0,0,0,0,,,,,94551,,
The Man Who Wasn't There,73,R,116,Drama,31oct2001,2001,8.5,38,35,3,0,,,,Original Screenplay,7504257,11412366,USA Films
Domestic Disturbance,29,R,89,Mystery,02nov2001,2001,8.4,18,14,3,1,53000000,,,Original Screenplay,45246095,9003199,Paramount Pictures
Punks,55,R,91,Comedy,02nov2001,2001,,3,3,0,0,,,,,160083,,Urbanworld
The One,25,PG-13,87,Action,02nov2001,2001,6.8,35,23,3,9,49000000,,,Original Screenplay,43905746,28783380,Sony Pictures
"Monsters, Inc.",78,TV-G,92,Adventure,02nov2001,2001,8.699999999999999,122,116,1,5,115000000,50000000,,Original Screenplay,255873250,269493347,Walt Disney Pictures
The Annihilation of Fish,37,R,108,Romance,02nov2001,2001,,1,1,0,0,,,,Original Screenplay,18335,,Regent Releasing
Everything Put Together,63,R,87,Drama,02nov2001,2001,7.5,4,3,1,0,500000,,,Original Screenplay,2963,,Vitagraph Films
Shallow Hal,48,PG-13,113,Drama,09nov2001,2001,5.5,46,29,4,13,40000000,,,Original Screenplay,70839203,70230657,20th Century Fox
King of the Jungle,45,R,87,Drama,09nov2001,2001,,1,1,0,0,,,,,27841,,Urbanworld
I Remember Me,68,,74,Biography,09nov2001,2001,,0,0,0,0,,,,,4039,,
Maze,48,R,97,Romance,09nov2001,2001,,0,0,0,0,,,,,26041,,Andora Pictures
Novocaine,45,R,95,Drama,16nov2001,2001,7.6,7,6,1,0,6000000,,,Original Screenplay,2036682,497690,Artisan
The Fluffer,53,R,95,Drama,16nov2001,2001,,3,2,1,0,,,,Original Screenplay,563373,,TLA Releasing
The Simian Line,46,R,106,Drama,16nov2001,2001,,0,0,0,0,,,,,19823,,Gabriel Film Group
Porn Star: The Legend of Ron Jeremy,54,R,80,Biography,20nov2001,2001,7.5,4,4,0,0,,,,,421516,,Maelstrom
Black Knight,32,PG-13,95,Adventure,21nov2001,2001,6.2,21,14,1,6,35000000,,,Original Screenplay,33426971,6549264,20th Century Fox
Out Cold,22,PG-13,89,Comedy,21nov2001,2001,9.1,50,46,1,3,11000000,,,Original Screenplay,13906394,876282,Walt Disney Pictures
Sidewalks of New York,49,R,108,Comedy,21nov2001,2001,7.4,7,7,0,0,1000000,,,Original Screenplay,2402652,1110061,Paramount Vantage
Spy Game,63,R,126,Action,21nov2001,2001,7.3,32,25,4,3,90000000,,,Original Screenplay,62362560,80687000,Universal
In the Bedroom,86,TV-MA,130,Drama,23nov2001,2001,7.5,72,55,7,10,1700000,,,Based on Book/Short Story,35930604,7438175,Miramax
The Affair of the Necklace,42,R,118,Drama,30nov2001,2001,6.7,6,3,2,1,,,,Original Screenplay,471210,,Warner Bros.
ABCD,53,Unrated,105,Drama,30nov2001,2001,,0,0,0,0,,,,Original Screenplay,83372,,Eros Entertainment
The Independent,52,R,95,Comedy,30nov2001,2001,,1,0,1,0,,,,,238431,,Arrow Releasing
Final,48,R,111,Sci-Fi,07dec2001,2001,,0,0,0,0,,,,,8693,,
The Business of Strangers,67,R,84,Drama,07dec2001,2001,4.6,8,4,1,3,6000000,,,Original Screenplay,1030920,256678,IFC Films
The Royal Tenenbaums,75,R,110,Drama,14dec2001,2001,7.1,162,120,7,35,28000000,,,Original Screenplay,52364010,19077240,Walt Disney Pictures
Not Another Teen Movie,32,TV-PG,89,Comedy,14dec2001,2001,7,54,38,5,11,15000000,,,Original Screenplay,38252284,28216048,Sony Pictures
Pinero,40,R,103,Biography,14dec2001,2001,8,5,4,0,1,,,,,275171,,Miramax
Joe Somebody,42,PG,98,Drama,19dec2001,2001,6.1,9,6,0,3,38000000,,,Original Screenplay,22771646,1745126,20th Century Fox
Jimmy Neutron: Boy Genius,65,G,82,Adventure,21dec2001,2001,6,20,14,2,4,25000000,,,Based on TV,80936232,22056304,Paramount Pictures
How High,29,R,93,Comedy,21dec2001,2001,8.699999999999999,57,51,1,5,12000000,,,Original Screenplay,31178740,105000,Universal
A Beautiful Mind,72,PG-13,135,Biography,21dec2001,2001,7.2,153,116,10,27,78000000,30000000,,Based on Magazine Article,170742341,142800000,Universal
The Majestic,27,PG,152,Drama,21dec2001,2001,6.9,28,21,2,5,72000000,,,Original Screenplay,27807266,9510292,Warner Bros.
Kate & Leopold,44,PG-13,118,Fantasy,21dec2001,2001,6.9,15,11,2,2,48000000,,,Original Screenplay,47121859,28897189,Miramax
Ali,65,R,157,Biography,25dec2001,2001,6.1,33,21,8,4,109000000,25000000,,Based on Real Life Events,58203105,29510720,Sony Pictures
Monster's Ball,69,NC-17,111,Drama,26dec2001,2001,6.3,36,23,3,10,4000000,8000000,,Original Screenplay,31273922,13635564,Lionsgate
Black Hawk Down,74,R,144,Action,28dec2001,2001,7.9,143,117,8,18,95000000,25000000,,Based on Book/Short Story,108638745,64350906,Sony Pictures
I Am Sam,28,PG-13,132,Drama,28dec2001,2001,7.6,68,53,10,5,22000000,,,Original Screenplay,40311852,57506287,New Line
Impostor,33,R,95,Action,04jan2002,2002,5.3,7,3,2,2,40000000,,,Based on Book/Short Story,6285176,1860373,Miramax
Orange County,48,PG-13,82,Drama,11jan2002,2002,7.3,22,16,4,2,18000000,,,Original Screenplay,41076018,2248991,Paramount Pictures
E-Dreams,65,,94,Documentary,11jan2002,2002,,3,3,0,0,700000,,,Based on Real Life Events,7830611,4000000,Fine Line
Kung Pow: Enter the Fist,14,PG-13,81,Action,25jan2002,2002,8.800000000000001,395,356,8,31,10000000,,,Original Screenplay,16037962,956663,20th Century Fox
The Mothman Prophecies,52,PG-13,119,Drama,25jan2002,2002,5.8,24,14,4,6,42000000,,,Based on Book/Short Story,35746370,19411169,Sony Pictures
A Rumor of Angels,35,PG-13,106,Drama,01feb2002,2002,8.800000000000001,10,10,0,0,,,,,38610,,MGM
Collateral Damage,33,R,108,Action,08feb2002,2002,4.8,16,7,3,6,85000000,,,Original Screenplay,40077257,38305176,Warner Bros.
"Scotland, Pa.",49,R,104,Comedy,08feb2002,2002,8.1,12,10,1,1,,,,,384098,,Lot 47 Films
Big Fat Liar,36,PG,88,Adventure,08feb2002,2002,8,23,19,0,4,15000000,,,Original Screenplay,48360547,4609467,Universal
Rollerball,14,R,98,Action,08feb2002,2002,2.7,25,6,1,18,70000000,,,Remake,18990798,6861966,MGM
Scratch,77,R,92,Documentary,15feb2002,2002,9,5,4,1,0,,,,,289885,,Palm Pictures
John Q,30,PG-13,116,Drama,15feb2002,2002,7.8,73,57,8,8,36000000,,,Original Screenplay,71756802,30487968,New Line
Crossroads,27,PG-13,93,Adventure,15feb2002,2002,4.9,45,20,4,21,12000000,,,Original Screenplay,37191304,23949726,Paramount Pictures
Hart's War,49,R,125,Drama,15feb2002,2002,7,15,11,3,1,70000000,,,Based on Book/Short Story,19077641,13209403,MGM
Dragonfly,25,PG-13,104,Drama,22feb2002,2002,6.2,21,13,1,7,60000000,,,Original Screenplay,30323400,22000000,Universal
Queen of the Damned,30,R,101,Fantasy,22feb2002,2002,7.3,120,89,7,24,35000000,,,Based on Book/Short Story,30336800,15142310,Warner Bros.
Big Bad Love,49,R,111,Drama,22feb2002,2002,8.5,4,4,0,0,,,,Based on Book/Short Story,104294,,IFC Films
Revolution OS,46,,85,Comedy,22feb2002,2002,,3,2,0,1,,,,,3500,,Seventh Art Releasing
40 Days and 40 Nights,53,R,96,Drama,01mar2002,2002,7.6,49,36,4,9,17000000,,,Original Screenplay,37950822,57195461,Miramax
We Were Soldiers,65,R,138,Action,01mar2002,2002,8,54,45,2,7,70000000,,,Based on Book/Short Story,78122718,36538066,Paramount Pictures
All About the Benjamins,34,R,95,Action,08mar2002,2002,8.300000000000001,7,6,0,1,14000000,,,Original Screenplay,25916319,390214,New Line
Festival in Cannes,46,PG-13,100,Comedy,08mar2002,2002,,1,1,0,0,,,,,299171,,Paramount Classics
Showtime,32,PG-13,95,Action,15mar2002,2002,4.5,10,4,2,4,85000000,,,Original Screenplay,38082712,39659020,Warner Bros.
Promises,80,,106,Documentary,15mar2002,2002,9.6,7,7,0,0,,,,,247948,,Cowboy Pictures
Margarita Happy Hour,66,,98,Drama,22mar2002,2002,9.6,5,5,0,0,,,,,10668,,
Death to Smoochy,38,R,109,Thriller,29mar2002,2002,6.3,38,24,2,12,50000000,,,Original Screenplay,8364691,18247,Warner Bros.
The Rookie,72,G,127,Drama,29mar2002,2002,7.3,18,16,0,2,22000000,,,Original Screenplay,75600072,5093465,Walt Disney Pictures
Panic Room,65,R,112,Thriller,29mar2002,2002,6.7,63,44,11,8,48000000,,,Original Screenplay,96397334,100000081,Sony Pictures
Clockstoppers,40,PG,94,Adventure,29mar2002,2002,5.4,11,5,1,5,26000000,,,Original Screenplay,36989956,1803327,Paramount Pictures
Big Trouble,47,PG-13,85,Thriller,05apr2002,2002,7.2,10,8,1,1,45000000,,,Based on Book/Short Story,7267307,1226583,Walt Disney Pictures
American Chai,46,R,92,Drama,05apr2002,2002,8.9,8,8,0,0,,,,Original Screenplay,127518,,Magic Lamp
30 Years to Life,56,R,110,Drama,05apr2002,2002,,0,0,0,0,,,,Original Screenplay,103540,,Innovation Film Group
High Crimes,48,PG-13,115,Drama,05apr2002,2002,5.4,7,4,1,2,42000000,,,Based on Book/Short Story,41543917,22237893,20th Century Fox
Astoria,29,R,103,Drama,05apr2002,2002,,0,0,0,0,,,,Original Screenplay,44025,,
Echoes,46,Unrated,72,Drama,10apr2002,2002,,0,0,0,0,,,,,780,,
Changing Lanes,69,R,98,Drama,12apr2002,2002,7.1,39,32,3,4,45000000,,,Original Screenplay,66818548,28117216,Paramount Pictures
Frailty,64,R,100,Sci-Fi,12apr2002,2002,6.6,45,30,6,9,11000000,,,Original Screenplay,13110448,4312582,Lionsgate
New Best Friend,13,R,91,Drama,12apr2002,2002,6.8,9,6,0,3,,,,,46375,,Sony Pictures
Mule Skinner Blues,68,R,93,Documentary,12apr2002,2002,,2,2,0,0,,,,,10106,,
The Other Side of Heaven,38,PG,113,Adventure,12apr2002,2002,8.300000000000001,57,47,1,9,7000000,,,Based on Book/Short Story,4720371,,Excel Entertainment
Outta Time,19,R,94,Action,12apr2002,2002,6,5,3,0,2,,,,,4052,,
